Company_Name,Average_MRP,Company_Rank
Alcon,679.36,1
Pfizer,675.0,2
His Eyeness,612.17,3
Viatris,596.53,4
Neomedix healthcare,552.27,5
Ipca Pharma,523.9,6
Santeen Pharmaceuticles,513.36,7
Allergan,461.86,8
Intas Pharmaceuticals,457.35,9
Alembic,453.9,10
Cipla,440.85,11
Sun Pharmaceutical,420.39,12
Irx Pharmaceuticals,386.6,13
Ajanta Pharma,385.57,14
Microlabs Ltd.,349.89,15
Sapient Pharmaceuticals,309.3,16
Entod Pharmaceuticals,308.04,17
Jawa Pharmaceuticals,278.34,18
Indoco Remedies,257.81,19
Lupin,249.94,20
Protech remedies,187.5,21
FDC ltd.,165.32,22
Sun ways India,150.83,23
Neiss Laboratories,140.0,24
Zeelab Pharmacy,115.0,25
Centaur Pharmaceuticals,71.55,26
Jaqson Healthcare,46.59,27
Zydus Pharma,28.13,28
