Company_Name,Average_MRP
Alcon,679.36
Pfizer,675.0
His Eyeness,612.17
Viatris,596.53
Neomedix healthcare,552.27
Ipca Pharma,523.9
Santeen Pharmaceuticles,513.36
Allergan,461.86
Intas Pharmaceuticals,457.35
Alembic,453.9
Cipla,440.85
Sun Pharmaceutical,420.39
Irx Pharmaceuticals,386.6
Ajanta Pharma,385.57
Microlabs Ltd.,349.89
Sapient Pharmaceuticals,309.3
Entod Pharmaceuticals,308.04
Jawa Pharmaceuticals,278.34
Indoco Remedies,257.81
Lupin,249.94
Protech remedies,187.5
FDC ltd.,165.32
Sun ways India,150.83
Neiss Laboratories,140.0
Zeelab Pharmacy,115.0
Centaur Pharmaceuticals,71.55
Jaqson Healthcare,46.59
Zydus Pharma,28.13
